,age1tot,age2tot,age3tot,age4tot,age5tot,age6tot,age7tot,age8tot,age9tot,ancs10tot,ancs11tot,ancs12tot,ancs13tot,ancs14tot,ancs15tot,ancs1tot,ancs2tot,ancs3tot,ancs4tot,ancs5tot,ancs6tot,ancs7tot,ancs8tot,ancs9tot,ancs_oth_tot,apg1tot,apg2tot,apg3tot,apg4tot,apg5tot,birthtot,bpl10tot,bpl11tot,bpl12tot,bpl13tot,bpl14tot,bpl15tot,bpl1tot,bpl2tot,bpl3tot,bpl4tot,bpl5tot,bpl6tot,bpl7tot,bpl8tot,bpl9tot,bpl_oth_tot,bwt1tot,bwt2tot,bwt3tot,bwt4tot,bwt5tot,bwt6tot,bwt7tot,bwt8tot,bwt9tot,educ1tot,educ2tot,educ3tot,eth_ap_tot,eth_bl_tot,eth_hi_tot,eth_wh_tot,ga1tot,ga2tot,ga3tot,ga4tot,ga5tot,mar1tot,mar2tot,mth1tot,mth2tot,mth3tot,mth4tot,nat1tot,nat2tot,par1tot,par2tot,pay1tot,pay2tot,pay3tot,pd,plur1tot,plur2tot,pob1tot,pob2tot,pob3tot,pob4tot,pob5tot,prenat1tot,prenat2tot,prenat3tot,prenat4tot,sex1tot,sex2tot,tract,weight1tot,weight2tot,weight3tot,weight4tot
184,,7.0,13.0,44.0,42.0,56.0,53.0,14.0,,5.0,,,,,,73.0,14.0,9.0,7.0,5.0,,18.0,,,78.0,,,,224.0,,233.0,,,,,,,133.0,5.0,7.0,,,,,,,70.0,,,,5.0,14.0,51.0,97.0,51.0,14.0,,,,17.0,120.0,48.0,42.0,,,5.0,22.0,205.0,118.0,115.0,157.0,,56.0,19.0,134.0,97.0,119.0,113.0,,,,610,223.0,10.0,,170.0,61.0,,,,,,,130.0,103.0,1019000.0,,,,
192,,,,11.0,11.0,25.0,13.0,,,,,,,,,27.0,,,,,,,,,24.0,,,,59.0,,66.0,,,,,,,45.0,,,,,,,,,13.0,,,,,,17.0,24.0,15.0,,,,,5.0,41.0,9.0,10.0,,,,8.0,54.0,35.0,31.0,43.0,,15.0,8.0,45.0,21.0,40.0,26.0,,,,610,65.0,,,50.0,15.0,,,,,,,29.0,37.0,1019800.0,,,,
194,,,8.0,6.0,33.0,45.0,26.0,13.0,,,,,,,,44.0,,,7.0,,,9.0,,,47.0,,,7.0,117.0,,131.0,,,,,,,75.0,,7.0,,,,,,,36.0,,,,,5.0,22.0,53.0,31.0,16.0,,,,,65.0,23.0,35.0,,,,6.0,122.0,53.0,78.0,82.0,,32.0,13.0,75.0,56.0,77.0,54.0,,,,610,127.0,,,99.0,27.0,,,,,,,65.0,66.0,1020000.0,,,,
203,,,17.0,46.0,74.0,78.0,54.0,21.0,,,,,,,,113.0,13.0,15.0,,,,11.0,,,118.0,5.0,,17.0,267.0,,295.0,,,,,,,163.0,9.0,,,,,,,5.0,104.0,,,,8.0,22.0,69.0,116.0,58.0,17.0,,,,7.0,197.0,38.0,47.0,,,5.0,23.0,262.0,171.0,124.0,181.0,7.0,74.0,31.0,166.0,128.0,145.0,149.0,,,,610,285.0,10.0,,174.0,118.0,,,,,,,145.0,150.0,1020800.0,,,,
205,,23.0,40.0,95.0,97.0,71.0,65.0,17.0,,,,,,,,194.0,61.0,54.0,,,,12.0,,,51.0,11.0,,27.0,360.0,5.0,408.0,,,,,,,318.0,35.0,,,,,,,,40.0,5.0,,6.0,14.0,37.0,101.0,136.0,82.0,24.0,,,,11.0,242.0,135.0,15.0,8.0,8.0,5.0,49.0,338.0,315.0,93.0,247.0,13.0,100.0,47.0,325.0,83.0,194.0,212.0,,,,610,381.0,27.0,,228.0,179.0,,,,,,,213.0,195.0,1021000.0,,,,
207,,5.0,17.0,43.0,44.0,66.0,35.0,13.0,,,6.0,,,7.0,,111.0,10.0,11.0,6.0,,,15.0,,,44.0,,,14.0,196.0,8.0,224.0,6.0,,,,,,156.0,8.0,5.0,,5.0,,,,,35.0,,,,9.0,8.0,45.0,88.0,54.0,15.0,,,,11.0,153.0,34.0,21.0,,,6.0,7.0,205.0,139.0,85.0,145.0,5.0,54.0,20.0,156.0,68.0,143.0,81.0,,,,610,216.0,8.0,,142.0,78.0,,,,,,,106.0,118.0,1021200.0,,,,
209,,6.0,7.0,25.0,44.0,31.0,24.0,10.0,,,,,,,,85.0,8.0,5.0,,,,,,,30.0,,,11.0,128.0,,149.0,,,,,,,107.0,,,,,,,,,33.0,,,,,10.0,38.0,61.0,28.0,5.0,,,,,109.0,18.0,14.0,,,,15.0,127.0,91.0,58.0,96.0,,36.0,13.0,108.0,41.0,89.0,59.0,,,,610,149.0,,,91.0,57.0,,,,,,,72.0,77.0,1021400.0,,,,
215,,12.0,15.0,91.0,88.0,121.0,82.0,35.0,,6.0,8.0,,,,,160.0,23.0,37.0,,,,20.0,,6.0,148.0,9.0,,18.0,403.0,15.0,448.0,,,,7.0,,,268.0,21.0,,,9.0,8.0,,,,119.0,,,6.0,9.0,25.0,103.0,163.0,115.0,23.0,,,,14.0,264.0,87.0,71.0,,8.0,5.0,32.0,400.0,274.0,174.0,305.0,5.0,99.0,38.0,269.0,177.0,213.0,234.0,,,,610,428.0,20.0,5.0,332.0,110.0,,,,,,,227.0,221.0,1022000.0,,,,
218,,,14.0,35.0,42.0,52.0,35.0,21.0,,,,,,,,91.0,11.0,6.0,,,,5.0,,,69.0,,,8.0,191.0,,203.0,,,,,,,127.0,6.0,,,,,,,,59.0,,,,7.0,13.0,39.0,70.0,52.0,17.0,,,,6.0,130.0,37.0,27.0,,,,15.0,177.0,127.0,76.0,126.0,,46.0,29.0,128.0,75.0,88.0,115.0,,,,610,193.0,10.0,,132.0,71.0,,,,,,,96.0,107.0,1022200.0,,,,
221,,21.0,34.0,143.0,109.0,84.0,52.0,22.0,,,,,,,,217.0,38.0,77.0,11.0,5.0,,5.0,,,91.0,6.0,7.0,36.0,410.0,5.0,469.0,,,,,,,308.0,53.0,6.0,5.0,,,,,,86.0,,5.0,9.0,14.0,25.0,123.0,173.0,96.0,22.0,,,,14.0,278.0,154.0,18.0,7.0,10.0,8.0,39.0,405.0,354.0,115.0,295.0,7.0,97.0,69.0,310.0,159.0,206.0,263.0,,,,610,449.0,20.0,,260.0,204.0,,,,,,,237.0,232.0,1022400.0,,,,
223,,,21.0,60.0,51.0,65.0,34.0,10.0,5.0,,,,,,,110.0,10.0,18.0,7.0,,,6.0,,,74.0,5.0,,11.0,227.0,,249.0,,,,,,,150.0,7.0,7.0,,,,,,,76.0,,,,,24.0,51.0,86.0,62.0,15.0,,,,12.0,175.0,48.0,11.0,,,,17.0,224.0,158.0,91.0,146.0,6.0,66.0,31.0,150.0,98.0,110.0,139.0,,,,610,239.0,10.0,,139.0,109.0,,,,,,,123.0,126.0,1022600.0,,,,
186,,8.0,15.0,32.0,43.0,28.0,47.0,7.0,,,,,,,,68.0,16.0,,5.0,,,10.0,,,64.0,,,,174.0,,183.0,,,,,,,113.0,,5.0,,,,,,,50.0,,,,7.0,11.0,39.0,74.0,45.0,7.0,,,,7.0,107.0,42.0,25.0,,,6.0,18.0,158.0,115.0,68.0,126.0,,39.0,14.0,114.0,67.0,97.0,86.0,,,,408,171.0,12.0,,135.0,48.0,,,,,,,92.0,91.0,1019000.0,,,,
194,,,,8.0,24.0,24.0,10.0,,,,,,,,,35.0,6.0,,5.0,,,,,,20.0,,,5.0,65.0,,73.0,,,,,,,50.0,,5.0,,,,,,,12.0,,,,,,13.0,31.0,13.0,7.0,,,,,50.0,15.0,5.0,,,,5.0,62.0,42.0,31.0,46.0,,15.0,10.0,50.0,23.0,39.0,34.0,,,,408,70.0,,,54.0,16.0,,,,,,,30.0,43.0,1019800.0,,,,
196,,,8.0,14.0,27.0,42.0,31.0,14.0,,,,,,,,51.0,6.0,5.0,10.0,,,5.0,,,50.0,,,8.0,121.0,,136.0,,,,,,,72.0,,8.0,,,,,,,42.0,,,,,9.0,33.0,55.0,22.0,10.0,,,,5.0,79.0,27.0,23.0,,,,11.0,119.0,68.0,68.0,92.0,,32.0,10.0,72.0,64.0,76.0,60.0,,,,408,126.0,10.0,,100.0,35.0,,,,,,,69.0,67.0,1020000.0,,,,
205,,,19.0,60.0,79.0,71.0,41.0,21.0,,,5.0,,,,,125.0,14.0,7.0,,,,9.0,,,122.0,5.0,5.0,22.0,255.0,6.0,294.0,,,,,,,162.0,,,,,,,,6.0,107.0,,5.0,5.0,7.0,29.0,70.0,99.0,59.0,20.0,,,,6.0,222.0,28.0,34.0,6.0,,,22.0,259.0,172.0,122.0,188.0,,74.0,28.0,165.0,128.0,140.0,153.0,,,,408,278.0,16.0,,164.0,126.0,,,,,,,151.0,143.0,1020800.0,,,,
208,,20.0,37.0,91.0,96.0,74.0,70.0,18.0,,,,,,,,219.0,59.0,44.0,,,,5.0,,,60.0,10.0,5.0,24.0,364.0,,408.0,,,,,,,315.0,31.0,,,,,,,,50.0,,,10.0,9.0,29.0,101.0,153.0,79.0,20.0,,,,13.0,258.0,123.0,12.0,6.0,12.0,5.0,38.0,347.0,314.0,94.0,266.0,11.0,81.0,49.0,327.0,81.0,184.0,224.0,,,,408,382.0,26.0,,232.0,174.0,,,,,,,200.0,208.0,1021000.0,,,,
210,,6.0,14.0,35.0,39.0,44.0,36.0,15.0,,,,,,,,117.0,10.0,7.0,5.0,,,7.0,,,32.0,,,13.0,166.0,8.0,192.0,,,,,,,143.0,6.0,,,,,,,,29.0,,,,7.0,12.0,43.0,66.0,47.0,11.0,,,,8.0,143.0,25.0,15.0,5.0,,,8.0,173.0,128.0,64.0,122.0,5.0,58.0,7.0,144.0,48.0,120.0,72.0,,,,408,182.0,10.0,,129.0,61.0,,,,,,,88.0,104.0,1021200.0,,,,
212,,6.0,,27.0,37.0,39.0,26.0,8.0,,,,,,,,85.0,5.0,,,,,,,,39.0,,,10.0,128.0,,148.0,,,,,,,99.0,,,,5.0,,,,,37.0,,,,,11.0,33.0,64.0,26.0,8.0,,,,,117.0,17.0,10.0,,,,17.0,126.0,90.0,58.0,94.0,,37.0,13.0,99.0,49.0,81.0,67.0,,,,408,148.0,,,84.0,64.0,,,,,,,65.0,83.0,1021400.0,,,,
218,,13.0,17.0,80.0,110.0,128.0,58.0,24.0,,8.0,7.0,,,,,163.0,28.0,42.0,,5.0,,12.0,6.0,7.0,135.0,,,21.0,386.0,21.0,434.0,,,,,,,256.0,19.0,,,9.0,9.0,,,,116.0,,,5.0,7.0,23.0,85.0,172.0,120.0,18.0,,,,17.0,259.0,97.0,59.0,,6.0,,29.0,392.0,260.0,174.0,299.0,5.0,91.0,38.0,261.0,168.0,197.0,236.0,,,,408,416.0,18.0,6.0,311.0,117.0,,,,,,,216.0,218.0,1022000.0,,,,
220,,,10.0,34.0,43.0,42.0,37.0,19.0,,,,,,,,88.0,11.0,8.0,,,,,,,60.0,,,9.0,169.0,5.0,186.0,,,,,,,113.0,7.0,,,,,,,,56.0,,,,5.0,14.0,38.0,64.0,49.0,11.0,,,,6.0,126.0,36.0,18.0,,,,16.0,160.0,111.0,75.0,123.0,,41.0,22.0,114.0,72.0,76.0,110.0,,,,408,180.0,6.0,,123.0,60.0,,,,,,,87.0,99.0,1022200.0,,,,
