,age1tot,age2tot,age3tot,age4tot,age5tot,age6tot,age7tot,age8tot,age9tot,ancs10tot,ancs11tot,ancs12tot,ancs13tot,ancs14tot,ancs15tot,ancs1tot,ancs2tot,ancs3tot,ancs4tot,ancs5tot,ancs6tot,ancs7tot,ancs8tot,ancs9tot,ancs_oth_tot,apg1tot,apg2tot,apg3tot,apg4tot,apg5tot,birthtot,bpl10tot,bpl11tot,bpl12tot,bpl13tot,bpl14tot,bpl15tot,bpl1tot,bpl2tot,bpl3tot,bpl4tot,bpl5tot,bpl6tot,bpl7tot,bpl8tot,bpl9tot,bpl_oth_tot,bwt1tot,bwt2tot,bwt3tot,bwt4tot,bwt5tot,bwt6tot,bwt7tot,bwt8tot,bwt9tot,educ1tot,educ2tot,educ3tot,eth_ap_tot,eth_bl_tot,eth_hi_tot,eth_wh_tot,ga1tot,ga2tot,ga3tot,ga4tot,ga5tot,mar1tot,mar2tot,mth1tot,mth2tot,mth3tot,mth4tot,nat1tot,nat2tot,par1tot,par2tot,pay1tot,pay2tot,pay3tot,pd,plur1tot,plur2tot,pob1tot,pob2tot,pob3tot,pob4tot,pob5tot,prenat1tot,prenat2tot,prenat3tot,prenat4tot,sex1tot,sex2tot,tract,weight1tot,weight2tot,weight3tot,weight4tot
219,,,10.0,31.0,46.0,36.0,36.0,15.0,,,,,,,,80.0,12.0,9.0,,,,5.0,,,58.0,,,13.0,151.0,8.0,178.0,,,,,,,99.0,8.0,,,,,,,,56.0,,,,,15.0,29.0,66.0,46.0,14.0,51.0,45.0,80.0,6.0,121.0,35.0,15.0,,,5.0,13.0,156.0,102.0,76.0,126.0,,34.0,18.0,100.0,75.0,72.0,106.0,107.0,69.0,,206,174.0,,,124.0,51.0,,,119.0,34.0,19.0,,91.0,87.0,1022200.0,,84.0,45.0,38.0
222,,34.0,48.0,131.0,108.0,74.0,48.0,21.0,,,,,,,,231.0,38.0,69.0,11.0,7.0,,,,,94.0,7.0,,42.0,395.0,17.0,465.0,,,,,,,295.0,48.0,9.0,7.0,,,,,,88.0,,6.0,6.0,11.0,30.0,118.0,183.0,86.0,24.0,166.0,158.0,135.0,13.0,300.0,134.0,13.0,9.0,,10.0,32.0,410.0,367.0,98.0,328.0,13.0,76.0,47.0,301.0,156.0,208.0,257.0,388.0,73.0,,206,453.0,12.0,,252.0,209.0,,,286.0,118.0,44.0,8.0,231.0,234.0,1022400.0,26.0,208.0,111.0,103.0
224,,8.0,24.0,77.0,74.0,65.0,38.0,,,,7.0,,,,,137.0,23.0,14.0,15.0,,,,,,80.0,5.0,8.0,13.0,251.0,13.0,290.0,,,,,,,176.0,5.0,13.0,,9.0,,,,,72.0,,,,12.0,12.0,63.0,111.0,60.0,24.0,108.0,90.0,92.0,,213.0,62.0,11.0,,8.0,,19.0,257.0,205.0,85.0,186.0,10.0,68.0,26.0,180.0,108.0,120.0,170.0,226.0,62.0,,206,284.0,6.0,,137.0,151.0,,,173.0,69.0,25.0,13.0,140.0,150.0,1022600.0,23.0,111.0,66.0,85.0
184,,,9.0,39.0,30.0,21.0,33.0,6.0,,,,,,,,82.0,8.0,5.0,,,,,,,29.0,,,8.0,122.0,8.0,142.0,,,,,,,100.0,,,,,,,,,26.0,,,,6.0,11.0,25.0,45.0,44.0,11.0,39.0,43.0,59.0,,106.0,22.0,11.0,,,,7.0,133.0,103.0,39.0,98.0,9.0,19.0,16.0,100.0,41.0,50.0,92.0,99.0,39.0,,4000,136.0,6.0,,97.0,42.0,,,81.0,38.0,11.0,,67.0,75.0,1019000.0,5.0,56.0,27.0,46.0
192,,,5.0,18.0,23.0,32.0,15.0,,,,,,,,,60.0,,,8.0,,,,,,16.0,,,,86.0,,96.0,,,,,,,67.0,,8.0,,,,,,,14.0,,,,,7.0,23.0,32.0,23.0,6.0,27.0,26.0,40.0,,74.0,19.0,,,,,9.0,84.0,61.0,35.0,67.0,5.0,13.0,11.0,67.0,28.0,39.0,57.0,50.0,44.0,,4000,90.0,6.0,,71.0,22.0,,,60.0,15.0,8.0,5.0,46.0,50.0,1019800.0,6.0,39.0,23.0,23.0
194,,6.0,11.0,38.0,42.0,35.0,28.0,,,,,,,,,72.0,6.0,6.0,13.0,,,,,,55.0,,,9.0,138.0,13.0,163.0,,,,,,,91.0,,13.0,,,,,8.0,,34.0,,,,5.0,11.0,38.0,68.0,29.0,9.0,39.0,45.0,75.0,8.0,112.0,34.0,8.0,,,5.0,8.0,147.0,107.0,56.0,117.0,5.0,29.0,12.0,92.0,67.0,68.0,95.0,110.0,50.0,,4000,157.0,6.0,,112.0,49.0,,,103.0,31.0,18.0,6.0,94.0,69.0,1020000.0,9.0,81.0,29.0,36.0
203,,9.0,19.0,69.0,79.0,78.0,52.0,15.0,,,6.0,,,,,171.0,19.0,8.0,,,,,,,112.0,7.0,10.0,33.0,256.0,15.0,323.0,,,,,,,190.0,7.0,,,7.0,,,,,107.0,,8.0,8.0,8.0,25.0,68.0,134.0,52.0,18.0,93.0,114.0,112.0,,275.0,32.0,13.0,12.0,9.0,6.0,23.0,272.0,233.0,90.0,213.0,16.0,57.0,37.0,197.0,123.0,127.0,196.0,250.0,66.0,6.0,4000,310.0,13.0,,183.0,134.0,,,197.0,76.0,29.0,6.0,178.0,145.0,1020800.0,22.0,138.0,82.0,70.0
206,,18.0,32.0,84.0,101.0,89.0,51.0,13.0,,,,,,,,256.0,41.0,30.0,,,,5.0,,,47.0,,6.0,16.0,347.0,16.0,389.0,,,,,,,309.0,28.0,,,,,,,,43.0,,10.0,7.0,5.0,33.0,83.0,138.0,88.0,25.0,117.0,93.0,179.0,,293.0,87.0,5.0,7.0,10.0,11.0,25.0,336.0,284.0,105.0,276.0,10.0,64.0,39.0,316.0,72.0,158.0,231.0,255.0,129.0,,4000,371.0,18.0,,224.0,163.0,,,252.0,81.0,32.0,8.0,207.0,182.0,1021000.0,20.0,149.0,97.0,114.0
208,,,7.0,33.0,53.0,50.0,37.0,8.0,,,,,,,,127.0,,7.0,,,,,,,36.0,,,12.0,159.0,16.0,193.0,,,,,,,138.0,,,,,,,,,36.0,,,,5.0,15.0,36.0,67.0,48.0,15.0,38.0,52.0,103.0,6.0,156.0,17.0,13.0,,,,22.0,159.0,124.0,69.0,128.0,10.0,46.0,9.0,139.0,54.0,88.0,105.0,99.0,93.0,,4000,181.0,12.0,,120.0,72.0,,,125.0,36.0,16.0,,88.0,105.0,1021200.0,13.0,70.0,48.0,56.0
210,,,9.0,25.0,34.0,32.0,19.0,5.0,,,,,,,,93.0,,,,,,,,,22.0,,,8.0,106.0,8.0,128.0,,,,,,,97.0,,,,,,,,,22.0,,,,,6.0,29.0,47.0,27.0,9.0,18.0,39.0,71.0,,111.0,11.0,,,,,9.0,110.0,77.0,51.0,88.0,,24.0,12.0,99.0,28.0,68.0,60.0,63.0,62.0,,4000,128.0,,,84.0,44.0,,,88.0,26.0,9.0,,66.0,62.0,1021400.0,6.0,51.0,34.0,35.0
216,,14.0,27.0,99.0,114.0,115.0,54.0,16.0,,,6.0,,,,,208.0,19.0,20.0,5.0,,,,,8.0,152.0,,6.0,28.0,380.0,24.0,441.0,,,,,,,246.0,16.0,5.0,,6.0,8.0,,10.0,,132.0,,6.0,,8.0,32.0,89.0,177.0,105.0,21.0,154.0,109.0,176.0,10.0,329.0,78.0,24.0,5.0,6.0,9.0,29.0,392.0,308.0,133.0,307.0,14.0,87.0,33.0,248.0,185.0,184.0,257.0,301.0,132.0,8.0,4000,423.0,18.0,,296.0,144.0,,,261.0,92.0,48.0,7.0,230.0,211.0,1022000.0,21.0,200.0,98.0,110.0
218,,5.0,10.0,40.0,53.0,41.0,35.0,13.0,,,,,,,,95.0,12.0,5.0,,,,5.0,,,63.0,,,27.0,149.0,14.0,198.0,,,,,,,110.0,5.0,,,,,,,,69.0,,,,6.0,16.0,36.0,74.0,46.0,13.0,58.0,60.0,77.0,,144.0,34.0,14.0,,5.0,7.0,11.0,173.0,126.0,72.0,142.0,,36.0,19.0,111.0,83.0,73.0,125.0,129.0,63.0,6.0,4000,190.0,8.0,,133.0,62.0,,,131.0,38.0,18.0,,93.0,105.0,1022200.0,10.0,93.0,47.0,37.0
221,,28.0,52.0,143.0,114.0,88.0,54.0,18.0,,,6.0,,,,7.0,268.0,35.0,56.0,8.0,5.0,,,,,103.0,9.0,10.0,31.0,426.0,22.0,498.0,,,,,,,322.0,43.0,7.0,,9.0,,,,,97.0,,,5.0,13.0,38.0,101.0,199.0,102.0,34.0,184.0,174.0,135.0,9.0,350.0,122.0,14.0,7.0,,10.0,47.0,430.0,388.0,110.0,366.0,20.0,71.0,41.0,328.0,162.0,196.0,302.0,427.0,67.0,,4000,480.0,18.0,,261.0,233.0,,,317.0,117.0,44.0,8.0,239.0,259.0,1022400.0,29.0,216.0,107.0,130.0
223,,10.0,25.0,72.0,66.0,64.0,45.0,5.0,,,,,,,,142.0,26.0,10.0,13.0,,,,,,76.0,5.0,8.0,15.0,242.0,17.0,287.0,,,,,,,183.0,5.0,11.0,,6.0,,,,,65.0,,,,8.0,13.0,64.0,114.0,60.0,22.0,116.0,95.0,76.0,7.0,210.0,60.0,10.0,,10.0,,15.0,258.0,213.0,74.0,189.0,16.0,55.0,27.0,189.0,95.0,110.0,177.0,227.0,57.0,,4000,281.0,6.0,,124.0,157.0,,,163.0,71.0,27.0,13.0,131.0,156.0,1022600.0,21.0,110.0,68.0,80.0
